site,setup_url,priority,type,anchor,label,target_url,description,status,notes
Google Business Profile - claim/update,https://support.google.com/business/answer/2911778?hl=en,P1,citation/profile,Shark Branding Solutions,Google Business Profile,https://sharkbrandingsolutions.com/,"Shark Branding Solutions helps local businesses improve AI visibility, local search clarity, trust signals, and conversion readiness so they get found and chosen more often.",Todo,"Use exact business name, phone, and website consistently."
Google Business Profile - website,https://support.google.com/business/answer/2911778?hl=en,P1,profile link,Website,Primary website,https://sharkbrandingsolutions.com/,"AI visibility consulting for local businesses in Tampa Bay.",Todo,"Main site URL."
Google Business Profile - Facebook social link,https://support.google.com/business/answer/13580646?hl=en,P1,social/entity link,Facebook,Social profile,https://www.facebook.com/,Todo,"Add final Facebook Page URL after page is created."
Google Business Profile - Instagram social link,https://support.google.com/business/answer/13580646?hl=en,P1,social/entity link,Instagram,Social profile,https://www.instagram.com/,Todo,"Add final Instagram URL after profile is created."
Google Business Profile - LinkedIn social link,https://support.google.com/business/answer/13580646?hl=en,P1,social/entity link,LinkedIn,Social profile,https://www.linkedin.com/,Todo,"Add final LinkedIn company page URL."
Google Business Profile - YouTube social link,https://support.google.com/business/answer/13580646?hl=en,P1,social/entity link,YouTube,Social profile,https://www.youtube.com/,Todo,"Add final YouTube channel URL."
Google Business Profile - TikTok social link,https://support.google.com/business/answer/13580646?hl=en,P1,social/entity link,TikTok,Social profile,https://www.tiktok.com/,Todo,"Add final TikTok URL."
Google Business Profile - Pinterest social link,https://support.google.com/business/answer/13580646?hl=en,P1,social/entity link,Pinterest,Social profile,https://www.pinterest.com/,Todo,"Add final Pinterest URL."
Apple Business Connect - claim,https://businessconnect.apple.com/,P1,citation/profile,Shark Branding Solutions,Apple Business Connect,https://sharkbrandingsolutions.com/,"Shark Branding Solutions helps local businesses improve AI visibility, local search clarity, trust signals, and conversion readiness so they get found and chosen more often.",Todo,"Mirror GBP exactly."
Apple Business Connect - action link,https://businessconnect.apple.com/promote/assets/custom-action-links.pdf,P1,action link,Book,Free Visibility Report,https://sharkbrandingsolutions.com/free-report,"AI visibility consulting for local businesses in Tampa Bay.",Todo,"Use /free-report as CTA when allowed."
Bing Places - claim,https://www.bingplaces.com/Home,P1,citation/profile,Shark Branding Solutions,Bing Places,https://sharkbrandingsolutions.com/,"Shark Branding Solutions helps local businesses improve AI visibility, local search clarity, trust signals, and conversion readiness so they get found and chosen more often.",Todo,"Keep NAP identical to GBP."
LinkedIn Company Page - create,https://www.linkedin.com/help/linkedin/answer/a543852,P1,profile link,Shark Branding Solutions,LinkedIn Company Page,https://sharkbrandingsolutions.com/,"Shark Branding Solutions helps local businesses improve AI visibility, local search clarity, trust signals, and conversion readiness so they get found and chosen more often.",Todo,"Tagline: AI visibility consulting for local businesses."
LinkedIn Company Page - website field,https://www.linkedin.com/help/linkedin/answer/a543852,P1,profile link,Website,Company website,https://sharkbrandingsolutions.com/,"AI visibility consulting for local businesses in Tampa Bay.",Todo,"Add homepage in website field."
LinkedIn Founder Profile - brand reinforcement,https://www.linkedin.com/help/linkedin/answer/a543852,P1,entity/supporting link,Founder at Shark Branding Solutions,Michelle Stanaland profile,https://sharkbrandingsolutions.com/,Todo,"Strengthen company-to-founder entity connection."
Facebook Page - create,https://www.facebook.com/help/104002523024878,P1,profile link,Shark Branding Solutions,Facebook Page,https://sharkbrandingsolutions.com/,"Shark Branding Solutions helps local businesses improve AI visibility, local search clarity, trust signals, and conversion readiness so they get found and chosen more often.",Todo,"Claim vanity URL if available."
